title,description
Straight Outta Compton,"Drama, Music. brother brother relationship, aids, police brutality, rap music, hip-hop, wife husband relationship, vandalism, drug dealer, nightclub, freedom of speech, protest, rapper, recording contract, from rags to riches, assault, terminal illness, road trip, based on true story, feud, gang, marijuana, police chase, hospital, racism, los angeles, gangster, racial slur, mother son relationship, no opening credits, wrongful arrest, death of brother, milwaukee wisconsin, police raid, police harassment, detroit michigan, duringcreditsstinger, gangster rap, record company, 1980s, music tour, reference to rodney king, intimidation by police, los angeles riots, compton california. In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today."
The Boy in the Striped Pyjamas,"War, Drama. nationalism, concentration camp, world war ii, gas chamber, nazis, concentration camp prisoner. When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls."
Hachi: A Dog's Tale,"Drama, Family. japanese, loyalty, human animal relationship, friendship, friends, family relationships, dog, newspaper reporter, family dog, waiting. A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home."
Toy Story,"Animation, Comedy, Family. jealousy, toy, boy, friendship, friends, rivalry, boy next door, new toy, toy comes to life. Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."
Terminator 2: Judgment Day,"Action, Thriller, Science Fiction. cyborg, shotgun, post-apocalyptic, dystopia, moral ambiguity, mental institution, violence, fictional war, morphing, nuclear weapons, shape shifter, savior, catch phrase. Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah."
Braveheart,"Action, Drama, History, War. individual, scotland, in love with enemy, legend, independence, idealism, revolt, tyranny. Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule."
Unforgiven,"Western. prostitute, sheriff, bounty, regret, right and justice, revenge, mutilation, one last job, reputation, englishman. William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff."
Life of Brian,"Comedy. christianity, male nudity, jewry, resistance, gladiator, roman empire, balcony, miracle, graffiti, jesus christ, doomed man, homily, latin, three kings, crucifixion, bethlehem, dying and death, stoning, sermon on the mount, monty python, anarchic comedy. Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs."
Aliens,"Horror, Action, Thriller, Science Fiction. android, extraterrestrial technology, space marine, spaceman, cryogenics, vacuum, space colony, warrior woman, settler, space travel, colony, alien, xenomorph. When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers."
Raiders of the Lost Ark,"Adventure, Action. saving the world, riddle, nepal, himalaya, cairo, moses, egypt, whip, treasure, medallion, leather jacket, nazis, hat, mediterranean, ark of the covenant, ten commandments, treasure hunt, excavation, swastika, archaeologist, indiana jones, archeology\xa0. When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."
Heat,"Action, Crime, Drama, Thriller. robbery, detective, bank, obsession, chase, shooting, thief, honor, murder, suspense, heist, betrayal, money, gang, cat and mouse, criminal mastermind, cult film, ex-con, heist movie, one last job, loner, bank job, neo-noir, gun fight, crime epic. Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence."
L.A. Confidential,"Crime, Drama, Mystery, Thriller. corruption, detective, shotgun, morgue, f word, domestic violence, corpse, crime, district attorney, bandage, movie star, man with glasses, knife in thigh, good cop bad cop, switchblade, call girl, 1950s, falsifying. Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner."
Fargo,"Crime, Drama, Thriller. cheating, ransom, salesclerk, winter, kidnapping, auto, unsociability, police, north dakota, murder, money, car dealership, woodchipper. Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!"
Moonrise Kingdom,"Comedy, Drama, Romance. new england, first love, eye patch, search party, devastation, pen pal, handkerchief, child smoking, small town sheriff, the color red, the color blue, boy scouts, sand dancing, meet cute, boy scouts leader, pipe smoking, duringcreditsstinger. Set on an island off the coast of New England in the summer of 1965, Moonrise Kingdom tells the story of two twelve-year-olds who fall in love, make a secret pact, and run away together into the wilderness. As various authorities try to hunt them down, a violent storm is brewing off-shore – and the peaceful island community is turned upside down in more ways than anyone can handle."
The Iron Giant,"Adventure, Animation, Family, Fantasy, Science Fiction. cold war, friendship, giant robot, sitting on a toilet, fear of unknown, 1950s, laxative. In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices."
The Martian,"Drama, Adventure, Science Fiction. based on novel, mars, nasa, isolation, botanist, stranded, spaceship, space, engineering, survival, astronaut, science, deep space explorer, duringcreditsstinger, battle for survival. During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive."
Kingsman: The Secret Service,"Crime, Comedy, Action, Adventure. spy, great britain, secret organization, secret agent, marvel comic, based on comic, united kingdom, duringcreditsstinger. The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius."
Dances with Wolves,"Adventure, Drama, Western. skab under tv, Øverste hylde, foran. Wounded Civil War soldier, John Dunbar tries to commit suicide – and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe."
Captain Phillips,"Action, Drama, Thriller. ship, hijacking, somalia, fisherman, blood, poverty, pirate, terrorism, commando, hijack, cargo ship, ship captain, ship hijacking, somali, commando unit. The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
Me Before You,"Drama, Romance. england, based on novel, depression, small town, wheelchair, caretaker, caregiver, disabled, twenty something, woman director, romantic drama, dead end job, accident. A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine."
Logan,"Action, Drama, Science Fiction. cyborg, experiment, self-destruction, mutant, future, dystopia, immortality, marvel comic, sequel, superhero, based on comic, scientific experiment, super powers, neo-western, troubled past, life on the margin. In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces."
The Dark Knight Rises,"Action, Crime, Drama, Thriller. dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction, catwoman, cat burglar, imax, flood, criminal underworld, batman. Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy."
Misery,"Drama, Thriller. nurse, psychopath, car crash, author, obsessed fan, blizzard, broken leg. Novelist Paul Sheldon crashes his car on a snowy Colorado road. He is found by Annie Wilkes, the ""number one fan"" of Paul's heroine Misery Chastaine. Annie is also somewhat unstable, and Paul finds himself crippled, drugged and at her mercy."
Ex Machina,"Drama, Science Fiction. dancing, artificial intelligence, distrust, isolation, technology, manipulation, friendship, deception, laboratory, robot, power outage, surveillance camera, consciousness, existentialism, lockdown, philosophical, robot human relationship, turing test, cybernetics. Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl."
Philadelphia,"Drama. gay, aids, homophobia, jurors, court, partner, hiv, lawyer, dying, discrimination, judiciary. No one would take his case until one man was willing to take on the system. Two competing lawyers join forces to sue a prestigious law firm for AIDS discrimination. As their unlikely friendship develops their courage overcomes the prejudice and corruption of their powerful adversaries."
Nightcrawler,"Crime, Drama, Thriller. journalism, underground, tv station, sociopath, home invasion, car chase, tv news, employer employee relationship, ethics, stringer. When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran."
The Nightmare Before Christmas,"Fantasy, Animation, Family. holiday, fire, santa claus, magic, halloween, skeleton, musical, christmas tree, fall from height, woods, animation, pumpkin, jack o lantern, saving christmas, christmas. Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans."
The King's Speech,"Drama, History. great britain, radio, monarchy, radio transmission, royal family, speech, marriage, royalty, death of father. The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war."
The Untouchables,"Crime, Drama, History, Thriller. white suit, al capone, tough cop, treasury agent, untouchable, tax evasion, jury tampering, rule of law, rooftop chase, cutting face while shaving, 1930s. Young Treasury Agent Elliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jimmy Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war."
Indiana Jones and the Last Crusade,"Adventure, Action. saving the world, venice, holy grail, library, riddle, father son relationship, whip, treasure, nazis, entrapment, crusader, treasure hunt, escape, panzer, order of the templars, archaeologist, indiana jones, archeology\xa0. When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life."
The Princess Bride,"Adventure, Family, Fantasy, Comedy, Romance. swashbuckler, evil prince, reference to socrates, reference to plato, screwball, impersonation. In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing."
Captain America: The Winter Soldier,"Action, Adventure, Science Fiction. washington d.c., future, shield, marvel comic, superhero, based on comic, captain america, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d, political thriller. After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier."
Finding Nemo,"Animation, Family. father son relationship, harbor, underwater, fish tank, great barrier reef, missing child, aftercreditsstinger, duringcreditsstinger, short term memory loss, clownfish, father son reunion, protective father. Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way."
Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy, Science Fiction. sequel, superhero, based on comic, misfit, space, outer space, aftercreditsstinger, duringcreditsstinger. The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage."
Jurassic Park,"Adventure, Science Fiction. exotic island, dna, paleontology, tyrannosaurus rex, triceratops, brontosaurus, electric fence, island, dinosaur, amusement park, theme park, jurassic park. A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape."
Toy Story 3,"Animation, Family, Comedy. hostage, college, toy, barbie, animation, escape, day care, teddy bear, duringcreditsstinger, toy comes to life, personification, inanimate objects coming to life, toy story. Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy."
The Hateful Eight,"Crime, Drama, Mystery, Western. bounty hunter, wyoming, mountain, narration, hangman, stagecoach, blizzard, post civil war. Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception."
Big Fish,"Adventure, Fantasy, Drama. circus, father son relationship, witch, fish, fishing, leech, story teller, apoplectic stroke, fair, mermaid, cancer, relationship, youth, gentle giant. Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures."
Breakfast at Tiffany's,"Comedy, Drama, Romance. loss of brother, age difference, cat, broken engagement, fire escape, jewelry, store window, neighbor, millionaire, celebration. Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past."
Mystic River,"Thriller, Crime, Drama, Mystery. child abuse, sexual abuse, loss of child, repayment, suppressed past, arbitrary law, boston, reference to sprite, child. A story about friendship and loyalty, guilt and vengeance, and the fateful affect the past has on the present."
Pan's Labyrinth,"Fantasy, Drama, War. spain, resistance, servant, anti hero, fairy, fairy tale, franco regime, army, princess, love, woods, king, hiding, labyrinth, mythological. Living with her tyrannical stepfather in a new home with her pregnant mother, 10-year-old Ofelia feels alone until she explores a decaying labyrinth guarded by a mysterious faun who claims to know her destiny. If she wishes to return to her real father, Ofelia must complete three terrifying tasks."
Slumdog Millionaire,"Drama, Romance. slum, indian lead, cheating, suspicion, game show, orphan, duringcreditsstinger. Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ‘Who Wants to Be a Millionaire?’ but, after he wins, he is suspected of cheating."
The Fault in Our Stars,"Romance, Drama. amsterdam, based on novel, support group, cancer, teenager, star crossed lovers, teen drama, oxygen tank, based on young adult novel. Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten."
Mulan,"Animation, Family, Adventure. homeland, musical, training, daughter, cricket, princess, dragon, luck. A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang."
How to Train Your Dragon 2,"Fantasy, Action, Adventure, Animation, Comedy, Family. father son relationship, wife husband relationship, sacrifice, viking, sequel, rescue, dragon, mother son relationship, death of husband, warrior, 3d. The thrilling second chapter of the epic How To Train Your Dragon trilogy brings back the fantastical world of Hiccup and Toothless five years later. While Astrid, Snotlout and the rest of the gang are challenging each other to dragon races (the island's new favorite contact sport), the now inseparable pair journey through the skies, charting unmapped territories and exploring new worlds. When one of their adventures leads to the discovery of a secret ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
Edge of Tomorrow,"Action, Science Fiction. deja vu, time warp, restart, dystopia, war, alien, military officer, soldier, alien invasion, exoskeleton. Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop."
Moon,"Science Fiction, Drama. moon, artificial intelligence, clone, isolation, future, dystopia, space, cloning, moon base. With only three weeks left in his three year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. When he has an accident however, he wakens to find that he is not alone."
Rain Man,"Drama. individual, mentally disabled, autism, loss of father, yuppie, car dealer, egocentrism, travel, convertible, psychiatrist, duringcreditsstinger, savant. Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country."
The Hobbit: The Desolation of Smaug,"Adventure, Fantasy. elves, dwarves, orcs, hobbit, dragon, wizard, sword and sorcery. The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug."
Ip Man,"Drama, Action, History. foreigner, martial arts, katana, bravery, rice, market, sport, tragic hero, racism, sadist, master, wing chun, bayonet. A semi-biographical account of Yip Man, the first martial arts master to teach the Chinese martial art of Wing Chun. The film focuses on events surrounding Ip that took place in the city of Foshan between the 1930s to 1940s during the Second Sino-Japanese War. Directed by Wilson Yip, the film stars Donnie Yen in the lead role, and features fight choreography by Sammo Hung."
Dunkirk,"Action, Drama, History, Thriller, War. france, beach, world war ii, evacuation, german, pilot, british army, royal navy, royal air force, private, allied forces, dunkirk. The miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbor of Dunkirk, France, between May 26th and June 4th 1940, during the Battle of France in World War II."
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Fantasy, Family. corruption, isolation, radio, magic, teleportation, bravery, tension, attack, werewolf. Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever."
Fantastic Mr. Fox,"Adventure, Animation, Comedy, Family. fox, tree, peasant, revenge, cider, tale, farm life. The Fantastic Mr. Fox bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family."
Boyhood,"Drama. daily life, urban life, growing up, domestic abuse, coming of age, parenting, divorce, family, divorced parents, abusive husband. The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows."
Batman Begins,"Action, Crime, Drama. himalaya, martial arts, dc comics, crime fighter, secret identity, undercover, hero, loss of father, society, gotham city, vigilante, superhero, based on comic, rivalry, tragic hero, ninja, good vs evil, crime, super powers, haunted by the past, evil doctor, escapade, master villain, fighting crime, unfulfillment, love and romance, unfulfilled love. Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman."
Ferris Bueller's Day Off,"Comedy. chicago, high school, aftercreditsstinger, duringcreditsstinger. Charismatic teen Ferris Bueller plays hooky in Chicago with his girlfriend and best friend."
Pirates of the Caribbean: The Curse of the Black Pearl,"Adventure, Fantasy, Action. exotic island, blacksmith, east india trading company, gold, marriage proposal, mutiny, jamaica, skeleton, daughter, governor, wooden eye, gold coin, pirate, alcoholic, swashbuckler, caribbean, aftercreditsstinger, pirate ship, capuchin monkey, tortuga. Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple."
How to Train Your Dragon,"Fantasy, Adventure, Animation, Family. flying, blacksmith, arena, island, night, ship, training, village, forest, viking, friendship, ignorance, flight, nest, dragon, battle, combat, well, warrior. As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father"
Manchester by the Sea,"Drama. sadness, boston, massachusetts, funeral, loss, grief, dysfunctional family, hospital, death, nephew, mental health, family tragedy, legal guardian, dysfunctional life. After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised."
Rocky,"Drama. underdog, philadelphia, transporter, italo-american, fight, publicity, boxer, independence, boxing match, training, lovers, surprise, world champion, amateur, victory. When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break."
The Exorcist,"Drama, Horror, Thriller. exorcism, holy water, religion and supernatural, vomit, christian, possession, profanity, priest, ouija board, satan, paranormal phenomena, girl, demon, strong language, disturbed child, crisis of faith, sfx. 12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith."
Die Hard,"Action, Thriller. helicopter, journalist, based on novel, terrorist, skyscraper, christmas party, s.w.a.t., hostage, kidnapping, vault, fistfight, murder, heist, shootout, los angeles, one man army, explosion, violence, fbi agent, walkie talkie, christmas eve, elevator shaft, one night, action hero. NYPD cop, John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down."
Ratatouille,"Animation, Comedy, Family, Fantasy. paris, brother brother relationship, expensive restaurant, river, cook, mouse, confidence, roof, window, work, restaurant critic, kitchen, spice, court, cookbook, family, chef, rat. A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down."
Gattaca,"Thriller, Science Fiction, Mystery, Romance. paraplegic, suicide attempt, cheating, dna, spaceman, new identity, heart disease, false identity, blood sample, biotechnology, space mission, dystopia, investigation, genetics, hostility, exercise, eugenics, dystopic future. Science fiction drama about a future society in the era of indefinite eugenics where humans are set on a life course depending on their DNA. The young Vincent Freeman is born with a condition that would prevent him from space travel, yet he is determined to infiltrate the GATTACA space program."
The Blues Brothers,"Music, Comedy, Action, Crime. dancing, prison, chicago, country music, nun, jazz, car journey, blues, nazis, music, concert, music instrument, shopping mall, orphanage, winnebago, church, sunglasses, parole, car chase, music band, loudspeaker, saturday night live, wrigley field, holiday inn. Jake Blues is just out of jail, and teams up with his brother, Elwood on a 'mission from God' to raise funds for the orphanage in which they grew up. The only thing they can do is do what they do best – play music – so they get their old band together and they're on their way, while getting in a bit of trouble here and there."
Cast Away,"Adventure, Drama. exotic island, suicide attempt, volleyball, loneliness, airplane crash, deserted island, tropical island, survival skills. Chuck, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia ditches at sea during a terrible storm. He's the only survivor, and he washes up on a tiny island with nothing but some flotsam and jetsam from the aircraft's cargo."
Seven Pounds,"Drama. vegetarian, tax collector, pianist, blind, organ transplant, blood type. An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers."
Jaws,"Horror, Thriller, Adventure. fishing, atlantic ocean, bathing, shipwreck, police chief, ferry boat, dying and death, dolly zoom, shark, great white shark, animal horror. An insatiable great white shark terrorizes the townspeople of Amity Island, The police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast."
X-Men: Days of Future Past,"Action, Adventure, Fantasy, Science Fiction. 1970s, mutant, time travel, marvel comic, based on comic, superhuman, storm, beast, aftercreditsstinger, changing the past or future. The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future."
The Lego Movie,"Adventure, Animation, Comedy, Family, Fantasy. father son relationship, creativity, friendship, part live action, toys, based on toy, falling in love, super powers, duringcreditsstinger, different worlds, lego, batman. An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from gluing the universe together."
Still Alice,"Drama. mother, professor, illness. Alice Howland, happily married with three grown children, is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis, Alice and her family find their bonds tested."
Harry Potter and the Goblet of Fire,"Adventure, Fantasy, Family. magic, dying and death, broom, school of witchcraft, chosen one, black magic, boarding school, vision, tournament, teenager, wizard, teenage hero, based on young adult novel. Harry starts his fourth year at Hogwarts, competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure – but Voldemort lurks, awaiting his chance to destroy Harry and all that he stands for."
Shaun of the Dead,"Horror, Comedy. record collection, flower, cheese, pub, surrey, romantic comedy, zombie, english, tv show in film, cricket bat, broken bottle, survival horror, british pub, english pub. Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners."
I Origins,"Science Fiction, Drama. independent film, eyes, molecular biologist. I Origins follows a molecular biologist studying the evolution of the human eye.  He finds his work permeating his life after a brief encounter with an exotic young woman who slips away from him.  As his research continues years later with his lab partner, they make a stunning scientific discovery that has far reaching implications and complicates both his scientific and and spiritual beliefs.  Traveling half way around the world, he risks everything he has ever known to validate his theory."
Beauty and the Beast,"Romance, Family, Animation, Fantasy, Music. prince, book, castle, rose, musical, princess, animation, based on tv series, beast, belle. Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within."
